company,ticker,headline,source,published,vader_label,vader_score
Apple,AAPL,"Apple Watch Ultra 3 is $99 off right now, but these Ultra 2 refurbs are $420 off the orig. list",9to5Toys,2026-06-18,NEUTRAL,0.0
Apple,AAPL,Intel shares rally after Trump announces chip production for Apple in US,Crypto Briefing,2026-06-18,POSITIVE,0.296
Apple,AAPL,"Trump says Apple to partner with Intel on US chip design, production - Reuters",Slashdot.org,2026-06-18,NEUTRAL,0.0
Apple,AAPL,"Missing Woman, Endless Questions: David Morrissey Stars in ""Gone"" - BritBox's Latest Gripping Crime Thriller",Thefutoncritic.com,2026-06-18,NEGATIVE,-0.6486
Apple,AAPL,Best Apple Watch Prime Day Deals 2026: The best early discounts,Macworld,2026-06-18,POSITIVE,0.8555
Apple,AAPL,"Comparative Study: Apple And Industry Competitors In Technology Hardware, Storage & Peripherals Industry",Biztoc.com,2026-06-18,NEUTRAL,0.0
Apple,AAPL,"Stephen King has big praise for new Apple TV show, but it's not Widow's Bay: ""It's like Hitchcock came back to do it one more time""",GamesRadar+,2026-06-18,POSITIVE,0.6757
Apple,AAPL,"Lenovo unveils mini PC with ARM chip and over 8,000 AI skills",Notebookcheck.net,2026-06-18,NEUTRAL,0.0
Apple,AAPL,Pro Chefs Consider These 20 Kitchen Tools a Joke. Here's What They Use Instead,CNET,2026-06-18,POSITIVE,0.296
Apple,AAPL,What Apple Didn’t Tell You About iPadOS 27,Geeky Gadgets,2026-06-18,NEUTRAL,0.0
JPMorgan,JPM,US Justice Department investigates Wall Street banks’ ties to Iranian Supreme Leader’s finances,Crypto Briefing,2026-06-18,POSITIVE,0.7906
JPMorgan,JPM,JPMorgan Chase cuts off Anthropic access for its Hong Kong staff - Financial Times,Slashdot.org,2026-06-18,NEGATIVE,-0.296
JPMorgan,JPM,JPMorgan cuts off Anthropic access for Hong Kong staff,The Next Web,2026-06-18,NEGATIVE,-0.296
JPMorgan,JPM,JPMorgan Chase cuts off Anthropic access for its Hong Kong staff,Biztoc.com,2026-06-18,NEGATIVE,-0.296
JPMorgan,JPM,Athena Coalition Brings Coordinated Defence to Open Source Security,InfoQ.com,2026-06-18,POSITIVE,0.4215
JPMorgan,JPM,China AI Lab’s 170% Stock Surge Cements Winner-Loser Pair Trade,Financial Post,2026-06-18,NEUTRAL,0.0
JPMorgan,JPM,JPMorgan Chase cuts off Anthropic access for its Hong Kong staff,Biztoc.com,2026-06-18,NEGATIVE,-0.296
JPMorgan,JPM,JPMorgan’s Ward Says Falling Oil Can Unleash European Stocks,Financial Post,2026-06-18,NEGATIVE,-0.1531
JPMorgan,JPM,Blackstone’s AirTrunk Seeks $3 Billion Loan for Sydney Project,Financial Post,2026-06-18,NEUTRAL,0.0
JPMorgan,JPM,The SpaceX IPO Is A Giant Unworkable Con Orchestrated By An Overt White Supremacist Huckster,Karlbode.com,2026-06-18,NEGATIVE,-0.1027
Goldman Sachs,GS,JPMorgan Chase cuts off Anthropic access for its Hong Kong staff - Financial Times,Slashdot.org,2026-06-18,NEGATIVE,-0.296
Goldman Sachs,GS,"Goldman Sachs initiates Talen Energy at Buy with $499 price target, citing nuclear power and AI demand",Crypto Briefing,2026-06-18,POSITIVE,0.1531
